"direction","pathway","overlap","set_size","query_size","pval","FDR"
"up","HALLMARK_IL6_JAK_STAT3_SIGNALING",6,77,477,0.00954677445051441,0.477338722525721
"up","HALLMARK_INFLAMMATORY_RESPONSE",9,185,477,0.0313793713955445,0.784484284888613
"up","HALLMARK_INTERFERON_GAMMA_RESPONSE",6,192,477,0.298613013211371,1
"up","HALLMARK_COAGULATION",4,119,477,0.30732276605752,1
"up","HALLMARK_INTERFERON_ALPHA_RESPONSE",3,95,477,0.387565103183635,1
"up","HALLMARK_KRAS_SIGNALING_UP",5,186,477,0.445410358484332,1
"up","HALLMARK_COMPLEMENT",5,187,477,0.450000830734177,1
"up","HALLMARK_IL2_STAT5_SIGNALING",5,188,477,0.454581417521759,1
"up","HALLMARK_ANGIOGENESIS",1,32,477,0.533489054767885,1
"up","HALLMARK_KRAS_SIGNALING_DN",4,164,477,0.541176417238648,1
"up","HALLMARK_HEDGEHOG_SIGNALING",1,36,477,0.575935104035436,1
"up","HALLMARK_ESTROGEN_RESPONSE_LATE",4,193,477,0.668821175696752,1
"up","HALLMARK_BILE_ACID_METABOLISM",2,104,477,0.706051188035447,1
"up","HALLMARK_APOPTOSIS",3,155,477,0.709937021864237,1
"up","HALLMARK_ALLOGRAFT_REJECTION",3,172,477,0.773387292675078,1
"up","HALLMARK_HEME_METABOLISM",3,185,477,0.813860896843005,1
"up","HALLMARK_TNFA_SIGNALING_VIA_NFKB",3,188,477,0.822283031890205,1
"up","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3,196,477,0.843168669436758,1
"up","HALLMARK_UV_RESPONSE_DN",2,144,477,0.855984870033637,1
"up","HALLMARK_PROTEIN_SECRETION",1,95,477,0.896394557780438,1
"up","HALLMARK_ANDROGEN_RESPONSE",1,98,477,0.903569808629447,1
"up","HALLMARK_PEROXISOME",1,99,477,0.905849606472615,1
"up","HALLMARK_XENOBIOTIC_METABOLISM",2,186,477,0.935426163579028,1
"up","HALLMARK_APICAL_JUNCTION",2,194,477,0.944826962973356,1
"up","HALLMARK_HYPOXIA",2,194,477,0.944826962973356,1
"up","HALLMARK_ESTROGEN_RESPONSE_EARLY",2,195,477,0.945906212697976,1
"up","HALLMARK_FATTY_ACID_METABOLISM",1,152,477,0.97355413273491,1
"up","HALLMARK_ADIPOGENESIS",1,191,477,0.989633703285169,1
"up","HALLMARK_GLYCOLYSIS",1,193,477,0.990120296084143,1
"up","HALLMARK_P53_PATHWAY",1,194,477,0.990354976566582,1
"up","HALLMARK_APICAL_SURFACE",0,43,477,1,1
"up","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0,73,477,1,1
"up","HALLMARK_DNA_REPAIR",0,148,477,1,1
"up","HALLMARK_E2F_TARGETS",0,197,477,1,1
"up","HALLMARK_G2M_CHECKPOINT",0,194,477,1,1
"up","HALLMARK_MITOTIC_SPINDLE",0,196,477,1,1
"up","HALLMARK_MTORC1_SIGNALING",0,198,477,1,1
"up","HALLMARK_MYC_TARGETS_V1",0,199,477,1,1
"up","HALLMARK_MYC_TARGETS_V2",0,58,477,1,1
"up","HALLMARK_MYOGENESIS",0,188,477,1,1
"up","HALLMARK_NOTCH_SIGNALING",0,32,477,1,1
"up","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0,198,477,1,1
"up","HALLMARK_PANCREAS_BETA_CELLS",0,32,477,1,1
"up","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0,99,477,1,1
"up","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0,48,477,1,1
"up","HALLMARK_SPERMATOGENESIS",0,115,477,1,1
"up","HALLMARK_TGF_BETA_SIGNALING",0,54,477,1,1
"up","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0,112,477,1,1
"up","HALLMARK_UV_RESPONSE_UP",0,156,477,1,1
"up","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0,41,477,1,1
"down","HALLMARK_PANCREAS_BETA_CELLS",3,32,105,0.000600221294137107,0.0300110647068553
"down","HALLMARK_ALLOGRAFT_REJECTION",4,172,105,0.0123187785322923,0.261862896203844
"down","HALLMARK_INFLAMMATORY_RESPONSE",4,185,105,0.0157117737722306,0.261862896203844
"down","HALLMARK_KRAS_SIGNALING_DN",3,164,105,0.0535966710013626,0.649257443051695
"down","HALLMARK_TNFA_SIGNALING_VIA_NFKB",3,188,105,0.0741821139542498,0.649257443051695
"down","HALLMARK_INTERFERON_GAMMA_RESPONSE",3,192,105,0.0779108931662034,0.649257443051695
"down","HALLMARK_ANGIOGENESIS",1,32,105,0.153197383898795,1
"down","HALLMARK_APOPTOSIS",2,155,105,0.191729432761138,1
"down","HALLMARK_APICAL_SURFACE",1,43,105,0.200293030599444,1
"down","HALLMARK_KRAS_SIGNALING_UP",2,186,105,0.250634145241857,1
"down","HALLMARK_COMPLEMENT",2,187,105,0.25255167356608,1
"down","HALLMARK_IL2_STAT5_SIGNALING",2,188,105,0.25446962581997,1
"down","HALLMARK_ESTROGEN_RESPONSE_LATE",2,193,105,0.264063831179993,1
"down","HALLMARK_PI3K_AKT_MTOR_SIGNALING",1,99,105,0.402683220728275,1
"down","HALLMARK_SPERMATOGENESIS",1,115,105,0.450544583544406,1
"down","HALLMARK_COAGULATION",1,119,105,0.461903849569227,1
"down","HALLMARK_FATTY_ACID_METABOLISM",1,152,105,0.5471626952363,1
"down","HALLMARK_UV_RESPONSE_UP",1,156,105,0.556541589992887,1
"down","HALLMARK_XENOBIOTIC_METABOLISM",1,186,105,0.62101211617435,1
"down","HALLMARK_MYOGENESIS",1,188,105,0.624963799988285,1
"down","HALLMARK_GLYCOLYSIS",1,193,105,0.634665353498403,1
"down","HALLMARK_APICAL_JUNCTION",1,194,105,0.636575623797823,1
"down","HALLMARK_HYPOXIA",1,194,105,0.636575623797823,1
"down","HALLMARK_ESTROGEN_RESPONSE_EARLY",1,195,105,0.638476000267008,1
"down","HALLMARK_MTORC1_SIGNALING",1,198,105,0.644118272932799,1
"down","HALLMARK_ADIPOGENESIS",0,191,105,1,1
"down","HALLMARK_ANDROGEN_RESPONSE",0,98,105,1,1
"down","HALLMARK_BILE_ACID_METABOLISM",0,104,105,1,1
"down","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0,73,105,1,1
"down","HALLMARK_DNA_REPAIR",0,148,105,1,1
"down","HALLMARK_E2F_TARGETS",0,197,105,1,1
"down","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0,196,105,1,1
"down","HALLMARK_G2M_CHECKPOINT",0,194,105,1,1
"down","HALLMARK_HEDGEHOG_SIGNALING",0,36,105,1,1
"down","HALLMARK_HEME_METABOLISM",0,185,105,1,1
"down","HALLMARK_IL6_JAK_STAT3_SIGNALING",0,77,105,1,1
"down","HALLMARK_INTERFERON_ALPHA_RESPONSE",0,95,105,1,1
"down","HALLMARK_MITOTIC_SPINDLE",0,196,105,1,1
"down","HALLMARK_MYC_TARGETS_V1",0,199,105,1,1
"down","HALLMARK_MYC_TARGETS_V2",0,58,105,1,1
"down","HALLMARK_NOTCH_SIGNALING",0,32,105,1,1
"down","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0,198,105,1,1
"down","HALLMARK_P53_PATHWAY",0,194,105,1,1
"down","HALLMARK_PEROXISOME",0,99,105,1,1
"down","HALLMARK_PROTEIN_SECRETION",0,95,105,1,1
"down","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0,48,105,1,1
"down","HALLMARK_TGF_BETA_SIGNALING",0,54,105,1,1
"down","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0,112,105,1,1
"down","HALLMARK_UV_RESPONSE_DN",0,144,105,1,1
"down","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0,41,105,1,1
