"Gene","Degree"
"HSPA8",20
"PPARGC1A",14
"GOT2",12
"ATP5F1B",10
"APP",10
"GAD1",10
"BECN1",10
"GAD2",10
"PKM",9
"CCT7",8
"MT-ATP6",8
"MFN2",8
"SLC32A1",7
"GBA",7
"NDUFS2",7
"GOT1",7
"FKBP4",6
"GSR",6
"NUP93",6
"HYOU1",6
"AARS1",5
"FEN1",5
"FARS2",5
"PRMT5",5
"USP19",5
"MKKS",4
"MUL1",4
"ANK1",4
"DNM3",4
"UBL4A",4
"DNAJC6",4
"NXPH1",4
"DYNLL2",4
"BCAT1",4
"APBB1",4
"USP5",3
"ATP6V1B1",3
"RANBP6",3
"NOP9",3
"SAE1",3
"PSME3",3
"RPN1",3
"PNOC",3
"MT-ND6",3
"MIEF1",3
"FTO",3
"LHX6",3
"SMURF1",3
"LRRC47",3
"LYRM4",3
"GPKOW",2
"ABCC6",2
"UTP18",2
"LRRC59",2
"TRPC5",2
"ATP6V0A1",2
"DYNC1LI1",2
"PLG",2
"SULT4A1",2
"OSTN",2
"PDPK1",2
"RAB39B",2
"ADO",2
"GNL1",2
"COPS4",2
"SRP68",2
"TACR1",2
"SARS1",2
"FNDC5",2
"EPB41L3",2
"WDR4",2
"DHCR24",2
"PSAP",2
"CERK",1
"VPS18",1
"SNX17",1
"PRLHR",1
"TIMM10B",1
"TERF2",1
"THOC3",1
"ETV5",1
"TBL2",1
"ELMO1",1
"PNMA1",1
"VWC2",1
"METTL24",1
"G3BP2",1
"CHMP7",1
"PRF1",1
"ABCF3",1
"CPLX2",1
"AIFM2",1
"EXOSC6",1
"BTNL9",1
"ARMCX3",1
"CCDC127",1
"NFE2L1",1
"RFX5",1
"KCNK1",1
"PPM1E",1
"CENPN",1
"MOAP1",1
"INA",1
"PAPSS2",1
"EEF1AKNMT",1
"EXOC3",1
"TMEM169",1
"HLA-DPA1",1
"TBC1D9",1
"MAP1LC3B2",1
"LAPTM4B",1
"RETREG2",1
"ITGAX",1
"COPS7A",1
