"stringId_A"	"stringId_B"	"preferredName_A"	"preferredName_B"	"ncbiTaxonId"	"score"	"nscore"	"fscore"	"pscore"	"ascore"	"escore"	"dscore"	"tscore"
"9606.ENSP00000001008"	"9606.ENSP00000273130"	"FKBP4"	"DYNC1LI1"	9606	0.425	0	0	0	0.06	0	0.4	0.064
"9606.ENSP00000001008"	"9606.ENSP00000477310"	"FKBP4"	"DYNLL2"	9606	0.446	0	0	0	0.092	0	0.4	0.065
"9606.ENSP00000001008"	"9606.ENSP00000401197"	"FKBP4"	"USP19"	9606	0.49	0	0	0	0.062	0.452	0	0.086
"9606.ENSP00000001008"	"9606.ENSP00000355231"	"FKBP4"	"BECN1"	9606	0.536	0	0	0	0.056	0.076	0	0.511
"9606.ENSP00000001008"	"9606.ENSP00000262839"	"FKBP4"	"TRPC5"	9606	0.624	0	0	0	0	0.328	0	0.463
"9606.ENSP00000001008"	"9606.ENSP00000437125"	"FKBP4"	"HSPA8"	9606	0.942	0	0	0	0.174	0.093	0.5	0.863
"9606.ENSP00000156109"	"9606.ENSP00000264198"	"GPKOW"	"MUL1"	9606	0.442	0	0	0	0.442	0	0	0
"9606.ENSP00000156109"	"9606.ENSP00000418823"	"GPKOW"	"FTO"	9606	0.483	0	0	0	0.049	0	0	0.479
"9606.ENSP00000205557"	"9606.ENSP00000314508"	"ABCC6"	"GBA"	9606	0.412	0	0	0	0	0	0	0.412
"9606.ENSP00000205557"	"9606.ENSP00000411471"	"ABCC6"	"ABCF3"	9606	0.563	0.042	0	0	0.054	0.054	0	0.551
"9606.ENSP00000216264"	"9606.ENSP00000314508"	"CERK"	"GBA"	9606	0.934	0	0	0	0	0	0.9	0.367
"9606.ENSP00000217420"	"9606.ENSP00000384551"	"SLC32A1"	"NXPH1"	9606	0.402	0	0	0	0.281	0	0	0.203
"9606.ENSP00000217420"	"9606.ENSP00000352544"	"SLC32A1"	"CPLX2"	9606	0.428	0	0	0	0.311	0	0	0.203
"9606.ENSP00000217420"	"9606.ENSP00000301908"	"SLC32A1"	"PNOC"	9606	0.443	0	0	0	0.067	0	0	0.428
"9606.ENSP00000217420"	"9606.ENSP00000377854"	"SLC32A1"	"LHX6"	9606	0.498	0	0	0	0.067	0	0	0.484
"9606.ENSP00000217420"	"9606.ENSP00000437125"	"SLC32A1"	"HSPA8"	9606	0.808	0	0	0	0	0.045	0.8	0.079
"9606.ENSP00000217420"	"9606.ENSP00000350928"	"SLC32A1"	"GAD1"	9606	0.977	0	0	0	0.228	0	0.5	0.946
"9606.ENSP00000217420"	"9606.ENSP00000365437"	"SLC32A1"	"GAD2"	9606	0.987	0	0	0	0.307	0	0.5	0.966
"9606.ENSP00000220509"	"9606.ENSP00000355231"	"VPS18"	"BECN1"	9606	0.444	0	0	0	0.049	0.1	0	0.403
"9606.ENSP00000221130"	"9606.ENSP00000264867"	"GSR"	"PPARGC1A"	9606	0.403	0	0	0	0	0	0	0.403
"9606.ENSP00000221130"	"9606.ENSP00000443459"	"GSR"	"BCAT1"	9606	0.519	0	0	0	0.055	0	0.385	0.239
"9606.ENSP00000221130"	"9606.ENSP00000245206"	"GSR"	"GOT2"	9606	0.536	0	0	0	0.094	0	0.126	0.46
"9606.ENSP00000221130"	"9606.ENSP00000320171"	"GSR"	"PKM"	9606	0.546	0.054	0	0	0.121	0	0.285	0.327
"9606.ENSP00000221130"	"9606.ENSP00000359539"	"GSR"	"GOT1"	9606	0.595	0	0	0	0.094	0.162	0.126	0.461
"9606.ENSP00000221130"	"9606.ENSP00000478931"	"GSR"	"AIFM2"	9606	0.63	0.057	0	0	0.075	0.046	0.265	0.488
"9606.ENSP00000225298"	"9606.ENSP00000398597"	"UTP18"	"EXOSC6"	9606	0.693	0	0	0	0.142	0.319	0.4	0.227
"9606.ENSP00000225298"	"9606.ENSP00000267425"	"UTP18"	"NOP9"	9606	0.749	0	0	0	0.42	0.095	0.54	0.086
"9606.ENSP00000225972"	"9606.ENSP00000312066"	"LRRC59"	"SRP68"	9606	0.405	0	0	0	0.182	0.292	0	0.055
"9606.ENSP00000225972"	"9606.ENSP00000480150"	"LRRC59"	"HYOU1"	9606	0.408	0	0	0	0.233	0.148	0	0.166
"9606.ENSP00000229268"	"9606.ENSP00000358674"	"USP5"	"UBL4A"	9606	0.424	0	0	0	0.087	0.237	0	0.24
"9606.ENSP00000229268"	"9606.ENSP00000401197"	"USP5"	"USP19"	9606	0.479	0	0	0	0.188	0.067	0	0.368
"9606.ENSP00000229268"	"9606.ENSP00000354621"	"USP5"	"SMURF1"	9606	0.814	0	0	0	0.044	0.571	0	0.584
"9606.ENSP00000233575"	"9606.ENSP00000477213"	"SNX17"	"APBB1"	9606	0.618	0	0	0	0.054	0	0	0.613
"9606.ENSP00000234396"	"9606.ENSP00000246062"	"ATP6V1B1"	"MKKS"	9606	0.474	0	0	0	0.399	0.091	0	0.116
"9606.ENSP00000234396"	"9606.ENSP00000262030"	"ATP6V1B1"	"ATP5F1B"	9606	0.942	0	0	0	0.11	0.074	0.925	0.181
"9606.ENSP00000234396"	"9606.ENSP00000264649"	"ATP6V1B1"	"ATP6V0A1"	9606	0.999	0.095	0	0	0.367	0.956	0.828	0.899
"9606.ENSP00000239032"	"9606.ENSP00000303522"	"PRLHR"	"TACR1"	9606	0.41	0	0	0	0.063	0.045	0	0.394
"9606.ENSP00000245206"	"9606.ENSP00000443459"	"GOT2"	"BCAT1"	9606	0.431	0	0	0	0.057	0	0	0.421
"9606.ENSP00000245206"	"9606.ENSP00000437125"	"GOT2"	"HSPA8"	9606	0.448	0	0	0	0.083	0.309	0	0.198
"9606.ENSP00000245206"	"9606.ENSP00000264867"	"GOT2"	"PPARGC1A"	9606	0.486	0	0	0	0.103	0	0	0.45
